system:index,date,temperature_celsius,.geo
A20190801_0000,2019-08-01,24.40837709512404,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190801_0300,2019-08-01,28.06792529575148,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190801_0600,2019-08-01,30.52766964108547,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190801_0900,2019-08-01,29.749935262102543,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190801_1200,2019-08-01,25.06707706538003,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190801_1500,2019-08-01,23.89061865044662,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190801_1800,2019-08-01,23.781714217685323,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190801_2100,2019-08-01,23.406873064567115,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190802_0000,2019-08-02,25.374433881673383,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190802_0300,2019-08-02,28.419225286332743,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190802_0600,2019-08-02,30.727026593677486,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190802_0900,2019-08-02,29.74329951218083,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190802_1200,2019-08-02,25.361940443564922,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190802_1500,2019-08-02,24.265772766821964,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190802_1800,2019-08-02,23.929969912318438,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190802_2100,2019-08-02,23.32354116400581,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190803_0000,2019-08-03,25.008219323520365,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190803_0300,2019-08-03,28.272649762823477,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190803_0600,2019-08-03,30.658424548629416,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190803_0900,2019-08-03,29.479622604988663,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190803_1200,2019-08-03,25.201261864194084,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190803_1500,2019-08-03,24.091965076231055,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190803_1800,2019-08-03,23.689082929268,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190803_2100,2019-08-03,22.676841854699287,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190804_0000,2019-08-04,25.084224454985225,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190804_0300,2019-08-04,28.201521819593985,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190804_0600,2019-08-04,30.087349654075034,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190804_0900,2019-08-04,29.629081290430356,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190804_1200,2019-08-04,24.425998495083952,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190804_1500,2019-08-04,23.890211192595075,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190804_1800,2019-08-04,23.41175280088913,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190804_2100,2019-08-04,21.75867563808381,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190805_0000,2019-08-05,24.28064264408115,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190805_0300,2019-08-05,27.39344358080992,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190805_0600,2019-08-05,29.313968928484712,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190805_0900,2019-08-05,28.79229992913547,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190805_1200,2019-08-05,23.968297533738212,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190805_1500,2019-08-05,23.118485655128456,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190805_1800,2019-08-05,22.394363652790215,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190805_2100,2019-08-05,21.30123389910947,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190806_0000,2019-08-06,23.39683012692464,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190806_0300,2019-08-06,27.54462788204354,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190806_0600,2019-08-06,29.404234034926407,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190806_0900,2019-08-06,29.55553017076576,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190806_1200,2019-08-06,24.24677304195938,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190806_1500,2019-08-06,23.640884642810605,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190806_1800,2019-08-06,22.97465085902555,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190806_2100,2019-08-06,21.5968004912973,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190807_0000,2019-08-07,23.473769009333587,"{""type"":""MultiPoint"",""coordinates"":[]}"
