date,mean_pressure,.geo
2019-10-15,100338.0602244522,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-10-16,100328.37158203963,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-10-17,100283.8103633972,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-10-18,100306.97404576725,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-10-19,100388.9446826358,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-10-20,100353.1403119962,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-10-21,100224.78343568656,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-10-22,100235.98410158686,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-10-23,100282.03712333823,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-10-24,100309.77658336869,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-10-25,100298.35804137621,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-10-26,100245.1898799722,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-10-27,100230.1957398259,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-10-28,100265.39450019502,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-10-29,100262.93362917393,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-10-30,100199.85929447014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-10-31,100226.21008999487,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-11-01,100269.01263622649,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-11-02,100380.1288391103,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-11-03,100440.24524221302,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-11-04,100448.11553491224,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-11-05,100285.25973218997,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-11-06,100237.02414363282,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-11-07,100323.20545216664,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-11-08,100390.69692560485,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-11-09,100366.47245437249,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-11-10,100280.22026663626,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-11-11,100293.33359223699,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-11-12,100415.30923457707,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-11-13,100396.46680164174,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-11-14,100278.19773683645,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-11-15,100305.280176952,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-11-16,100375.15136373203,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-11-17,100326.98069959228,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-11-18,100238.51400496397,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-11-19,100245.17179123385,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-11-20,100226.21850436508,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-11-21,100297.4944422006,"{""type"":""MultiPoint"",""coordinates"":[]}"
